Date (GMT),Facebook Page,Post ID,Post Permalink,Post Type,Post Message,Tags,Reactions,Comments,Shares,Ow.ly Clicks
2018-07-02 04:53:44,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1762963760461848,https://www.facebook.com/1091322447625986/posts/1762963760461848/,Photo,"In May we posted about Jessica BEATTY, police are still trying to locate her.  27 year old Jessica is wanted for four outstanding warrants related to theft of a motor vehicle, property offences and failing to answer bail.  Jessica is known to frequent the Casey and Ballarat areas.  Police would like anyone who sights Jessica or who have any information about her whereabouts to please contact Crime Stoppers on 1800 333 000 or www.crimestoppersvic.com.au  vp40485",,4,0,36,
2018-07-02 05:26:14,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1762991577125733,https://www.facebook.com/1091322447625986/posts/1762991577125733/,Photo,28 year old Hayden CSINCSI is also still wanted by police.  He has an outstanding warrant in relation to driving matters after he failed to attend at the Melbourne Magistrates' Court on the 28th of November 2017.  Hayden is known to frequent the Casey and Clayton areas.  If you sight Hayden or have any information on his whereabouts please contact Crime Stoppers on 1800 333 000 or www.crimestoppersvic.com.au  vp40485,,1,1,13,
2018-07-02 06:55:58,Eyewatch - Hume Police Service Area,444597578958459_1735030203248517,https://www.facebook.com/eyewatchhume/videos/1735030203248517/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,7,0,0,
2018-07-02 06:55:59,Eyewatch - Knox Police Service Area,597550253628752_1965959870121110,https://www.facebook.com/eyewatchknox/videos/1965959870121110/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,8,0,0,
2018-07-02 06:56:00,Eyewatch - Melton Police Service Area,1248280898517925_1976974538981887,https://www.facebook.com/eyewatchmelton/videos/1976974538981887/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,6,0,0,
2018-07-02 06:56:12,Eyewatch - Swan Hill Police Service Area,919605548169837_1282737708523284,https://www.facebook.com/eyewatchswanhill/videos/1282737708523284/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,4,0,1,
2018-07-02 06:56:13,Eyewatch - Wyndham Police Service Area,134404370080550_887469901440656,https://www.facebook.com/eyewatchwyndham/videos/887469901440656/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,12,2,2,
2018-07-02 06:56:13,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1763074510450773,https://www.facebook.com/eyewatchgreaterdandenong/videos/1763074510450773/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,9,1,1,
2018-07-02 06:56:26,Eyewatch - Greater Shepparton Police Service Area,349554451900294_814326622089739,https://www.facebook.com/eyewatchgreatershepparton/videos/814326622089739/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,7,3,1,
2018-07-02 06:56:28,Eyewatch – Bass Coast Police Service Area,1428617380762126_1921401074817085,https://www.facebook.com/EyewatchBassCoast/videos/1921401074817085/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,9,0,1,
2018-07-02 06:56:31,Eyewatch - Southern Grampians Police Service Area,226760391222871_271783006720609,https://www.facebook.com/eyewatchsoutherngrampians/videos/271783006720609/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,5,0,0,
2018-07-02 06:56:31,Eyewatch - Moorabool Police Service Area,1764824083826023_1842377729403991,https://www.facebook.com/eyewatchmoorabool/videos/1842377729403991/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,1,0,0,
2018-07-02 06:56:38,Eyewatch - Whitehorse Police Service Area,171187666812034_234663527131114,https://www.facebook.com/eyewatchwhitehorse/videos/234663527131114/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,6,0,3,
2018-07-02 06:57:01,Eyewatch - Northern Grampians Police Service Area,1198323133636327_1323912004410772,https://www.facebook.com/eyewatchnortherngrampians/videos/1323912004410772/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,3,0,0,
2018-07-02 06:57:08,Eyewatch - Glen Eira Police Service Area,1587370574633686_1726548657382543,https://www.facebook.com/eyewatchgleneira/videos/1726548657382543/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,4,0,1,
2018-07-02 06:57:16,Eyewatch - Warrnambool Police Service Area,492532490957500_819581468252599,https://www.facebook.com/EyewatchWarrnambool/videos/819581468252599/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,10,1,0,
2018-07-02 06:57:25,Eyewatch - Kingston Police Service Area,1660666587339151_2063267667079039,https://www.facebook.com/eyewatchkingston/videos/2063267667079039/,Video,"Watch part one of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,4,1,1,
2018-07-02 08:25:03,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1763160910442133,https://www.facebook.com/1091322447625986/posts/1763160910442133/,Photo,"Greater Dandenong Crime Investigation Unit are investigating a burglary which occurred at a business on Buckingham Avenue, Springvale on Wednesday the 12th of June 2018 at approximately 11:20am.  Police have released a CCTV still image of a male who they believe may be able to assist with enquiries.  If you recognise the male please contact Crime Stoppers on 1800 333 000 or www.crimestoppersvic.com.au and quote incident number 180202927  vp40485",,4,0,4,
2018-07-02 12:57:05,Eyewatch - Wyndham Police Service Area,134404370080550_887709404750039,https://www.facebook.com/134404370080550/posts/887709404750039/,Photo,"#soyouknow  We think Road Safety is everyone's business.  Our Highway Patrol work tirelessly to make sure you and your family are safe on our roads - at all hours of the day and night.   On 01.07.2018 at 01.00 AM on Palmers Road Point Cook this AUDI was checked at 119 KPH in a 70 Zone :(   Due to the speed involved the car was impounded for a month ($1023) and the driver issued with a summons for ""Speed Dangerous""   . . . . Please slow down and moderate your driving to match weather conditions and marked speed limits.   #arrivealive  Senior Sergeant Aaron RICHES",,130,46,6,
2018-07-02 21:45:07,Eyewatch - Greater Shepparton Police Service Area,349554451900294_814941908694877,https://www.facebook.com/349554451900294/posts/814941908694877/,Photo,SAME FACE - ANOTHER THEFT  This unknown male will be able to assist police in multiple Shepparton retail thefts.   Can you assist with information to identify him?  The most recent incident occurred in the late afternoon of Sunday 24/06/18.  A Shepparton retailer suffered a $1676 theft of headphones and speakers.  If you can assist please contact Constable Roberts or First Constable Deas at Shepparton Police on 035820 5777.   You can also pass this information on via Crimestoppers and this link;    https://www.crimestoppersvic.com.au/report-a-crime/,,24,15,131,
2018-07-02 22:14:49,Eyewatch - Melton Police Service Area,1248280898517925_1977980198881321,https://www.facebook.com/1248280898517925/posts/1977980198881321/,Photo,"COME & JOIN US Wednesday 4th July, 12PM – 2PM.  Meet at Jamaica Blue (Located next to Aldi – Woodgrove) Be a part of building a relationship between community and local police at Woodgrove’s monthly Coffee with Cop events. Enjoy a complementary coffee and a chat with officers from your Melton Police Station. Enjoy your chance to sit down, ask questions and share what’s on your mind over a friendly cup of coffee.",,5,1,5,
2018-07-02 22:16:54,Eyewatch - Swan Hill Police Service Area,919605548169837_1283506791779709,https://www.facebook.com/919605548169837/posts/1283506791779709/,Video,Vic Emergency post re MFB's Home Fire Safety Booket,,6,0,0,
2018-07-02 22:22:55,Eyewatch - Swan Hill Police Service Area,919605548169837_1283510505112671,https://www.facebook.com/919605548169837/posts/1283510505112671/,Link,The owner of a brand new Harley Davidson motorcycle was left red-faced on Saturday evening.,,6,0,1,
2018-07-02 22:30:08,Eyewatch - Knox Police Service Area,597550253628752_1966998386683925,https://www.facebook.com/597550253628752/posts/1966998386683925/,Photo,"URGENT REQUEST FOR WITNESSES AND CCTV OR DASHCAM;  Monday 2nd of July 2018;  At about 9:45PM on Monday night, a silver coloured Toyota Yaris sedan travelling West on Mt Dandenong Rd near Dorset Rd crossed into the Eastbound lanes and collided with a Hyundai sedan travelling East. The Toyota subsequently rolled over and came to rest in the front yard of a medical centre sustaining extensive damage in the process. A male occupant of the Toyota was reported fleeing the scene on foot. The female driver of the Hyundai was conveyed to hospital suffering serious injuries.  Police urge anyone who may have seen the Toyota on Mt Dandenong Rd prior to the incident or anyone with dashcam or CCTV footage to come forward.   Enquiries are continuing as to the cause of the collision.  Please contact S/C MCGREGOR at Maroondah Highway Patrol on 9881 7900 or make a confidential report via Crimestoppers on 1300 333 000.",,30,13,23,
2018-07-02 22:59:51,Eyewatch - Hume Police Service Area,444597578958459_1736081186476752,https://www.facebook.com/444597578958459/posts/1736081186476752/,Photo,Police are appealing to the public to help locate Bhanupradeep DANDALA.  DANDALA is wanted by police in relation to outstanding warrants.  Anyone with information on DANDALA is encouraged to contact Crime Stoppers on 1800 333 000.,,9,18,51,
2018-07-02 23:14:04,Eyewatch - Hume Police Service Area,444597578958459_1736096043141933,https://www.facebook.com/444597578958459/posts/1736096043141933/,Photo,CAN YOU IDENTIFY THIS MALE?  On the 9th June 2018 an assault has occurred in Sunbury. Police have released an image of a male they believe will be able to assist them with their enquiries.  If you have any information please contact Crime Stoppers on 1800 333 000.,,19,11,118,
2018-07-03 00:10:15,Eyewatch – Bass Coast Police Service Area,1428617380762126_1922067014750491,https://www.facebook.com/1428617380762126/posts/1922067014750491/,Link,WARRANT - JAMES TISDALE,,11,5,22,
2018-07-03 01:13:43,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1764275696997321,https://www.facebook.com/1091322447625986/posts/1764275696997321/,Photo,Police are appealing for the public's assistance to help locate 31 year old Robert JEPSOM.  Robert is wanted for an outstanding warrant related to an assault.    Robert is known to frequent the Dandenong and Pakenham areas.  If you have any information in relation to Robert's whereabouts please contact Crime Stoppers on 1800 333 000 or http://www.crimestoppersvic.com.au  vp40485,,1,1,4,
2018-07-03 01:33:54,Eyewatch - Melton Police Service Area,1248280898517925_1978171405528867,https://www.facebook.com/1248280898517925/posts/1978171405528867/,Video,(Post with no description),,13,13,4,
2018-07-03 02:00:06,Eyewatch - Whitehorse Police Service Area,171187666812034_235306353733498,https://www.facebook.com/171187666812034/posts/235306353733498/,Video,International student Meld Magazine share five simple tips on how students can stay safe on campus after hours. Watch them here:,,2,0,1,
2018-07-03 02:00:06,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1764322540325970,https://www.facebook.com/1091322447625986/posts/1764322540325970/,Video,International student Meld Magazine share five simple tips on how students can stay safe on campus after hours. Watch them here:,,2,0,2,
2018-07-03 02:25:02,Eyewatch - Greater Shepparton Police Service Area,349554451900294_815106968678371,https://www.facebook.com/349554451900294/posts/815106968678371/,Link,THAT OPPORTUNITY TO BE HEARD.  https://www.sheppnews.com.au/@news/2018/06/28/133648/pleasetalktous,,5,1,2,
2018-07-03 02:46:28,Eyewatch - Warrnambool Police Service Area,492532490957500_820510171493062,https://www.facebook.com/492532490957500/posts/820510171493062/,Link,https://www.standard.net.au/story/5501664/update-machete-man-remanded-in-custody-after-bail-application-fails/?cs=72,,24,8,9,
2018-07-03 03:26:28,Eyewatch - Swan Hill Police Service Area,919605548169837_1283713128425742,https://www.facebook.com/919605548169837/posts/1283713128425742/,Photo,Good news,,23,4,3,
2018-07-03 03:26:55,Eyewatch - Swan Hill Police Service Area,919605548169837_1283713491759039,https://www.facebook.com/919605548169837/posts/1283713491759039/,Photo,Have you seen Bikramjit Bikramjit Singh?,,0,0,5,
2018-07-03 03:27:55,Eyewatch - Swan Hill Police Service Area,919605548169837_1283714158425639,https://www.facebook.com/919605548169837/posts/1283714158425639/,Video,Tips on how students can stay safe on campus,,3,0,0,
2018-07-03 04:13:22,Eyewatch - Melton Police Service Area,1248280898517925_1978335455512462,https://www.facebook.com/1248280898517925/posts/1978335455512462/,Photo,"DAY IN LIFE OF A HIGHWAY PATROL UNIT  Highway Patrol Shift – Saturday 30th June 2018 8:00 PM - Shift Start - Briefing with Patrol Supervisor 8:08: PM – On the road  8.21: PM – Patrolling Western Freeway  - Intercept - Unlicensed driver - Penalty Notice issued $793 8.54 PM – Patrolling Hopkins Rd Truganina  - Detected vehicle 98km/h in 80km/h zone –  Penalty Notice  issued $317 / 3 Demerit points 9.12 PM - Patrolling Hopkins Rd Truganina - Observe driver following too close, intercepted: Learner Unaccompanied, Fail to produce Learners Permit, Follow too close 3 x Penalty Notices  issued total $1110/1 Demerit Point 9.45 PM – Patrolling Leakes Rd Truganina - Intercept - Unregistered Vehicle and Unlicensed driver – 2 x Penalty Notice issued totalling  $1586 10.20 PM – Patrolling Leakes Rd Truganina  - Observe a vehicle with registration plates not matching the vehicle. - Intercept – Disqualified Licence, False Plates, Unregistered Vehicle, Positive drug test. Summonsed to attend court at a later date. 11.48 PM – Patrolling Coburns Rd Melton - Intercept – Unlicensed driver, unregistered motor vehicle, Positive drug test.  Car impounded and summonsed to attend court at a later date. 12.39 AM – Attend Melton South for burglary. Roving patrol 1.20 AM – Observe a vehicle traveling at a fast rate of speed. Laser Detected 80km/h in 60km/h zone. - Intercept -  Disqualified driver, Bald tyres – Unroadworthy vehicle, Positive drug test, Exceed speed limit by 15-25km/h over limit. Vehicle defected and offender summonsed to attend court at a later date. 2.17 AM – Patrolling vicinity of Woodgrove Shopping Centre  -  Intercept – Full current drivers licence, random drug test = Positive. Pending laboratory results, Penalty Notice issued $484/6 months suspension of licence.  3.15 AM – Return to station  - Complete paperwork 4.00 AM - Off Duty",,98,50,5,
2018-07-03 05:20:03,Eyewatch – Bass Coast Police Service Area,1428617380762126_1922256134731579,https://www.facebook.com/1428617380762126/posts/1922256134731579/,Photo,LOST YOUR BIKE?  This bike was handed into Wonthaggi Police yesterday.  If you know the owner please give us a call on 5671 4100.  Proof of ownership required.,,3,2,10,
2018-07-03 05:38:18,Eyewatch - Knox Police Service Area,597550253628752_1967403289976768,https://www.facebook.com/597550253628752/posts/1967403289976768/,Photo,"URGENT REQUEST FOR WITNESSES AND CCTV OR DASHCAM; At about 3:00PM on Friday 29th of June 2018, a green coloured Nissan Navara Ute travelling East on Ferntree Gully Rd near Bunnings Scoresby, is alleged to have run a right light at the intersection of Henderson Rd and collided with pedestrian that was crossing the road.   The male pedestrian sustained serious injuries and was taken by ambulance to the Alfred Hospital. Police are urging anyone who may have seen the Nissan Ute on Ferntree Gully Rd prior to the incident or anyone with dashcam or CCTV footage to come forward.  Please contact S/C Marcus SMITH at Knox Uniform on 9881 7000 or make a confidential report via Crime Stoppers on 1300 333 000. Acting Senior Sergeant 32413 - Knox Police Station",,26,10,89,
2018-07-03 05:56:01,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1764604563631101,https://www.facebook.com/eyewatchgreaterdandenong/videos/1764604563631101/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,9,0,1,
2018-07-03 05:56:02,Eyewatch - Hume Police Service Area,444597578958459_1736502393101298,https://www.facebook.com/eyewatchhume/videos/1736502393101298/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,4,0,0,
2018-07-03 05:56:06,Eyewatch - Warrnambool Police Service Area,492532490957500_820624901481589,https://www.facebook.com/EyewatchWarrnambool/videos/820624901481589/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,5,1,2,
2018-07-03 05:56:42,Eyewatch - Melton Police Service Area,1248280898517925_1978436785502329,https://www.facebook.com/eyewatchmelton/videos/1978436785502329/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,3,0,0,
2018-07-03 05:56:57,Eyewatch - Swan Hill Police Service Area,919605548169837_1283808305082891,https://www.facebook.com/eyewatchswanhill/videos/1283808305082891/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,2,0,1,
2018-07-03 05:57:01,Eyewatch - Glen Eira Police Service Area,1587370574633686_1727998810570861,https://www.facebook.com/eyewatchgleneira/videos/1727998810570861/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,3,0,1,
2018-07-03 05:57:11,Eyewatch – Bass Coast Police Service Area,1428617380762126_1922277401396119,https://www.facebook.com/EyewatchBassCoast/videos/1922277401396119/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,3,0,0,
2018-07-03 05:57:15,Eyewatch - Kingston Police Service Area,1660666587339151_2065145413557931,https://www.facebook.com/eyewatchkingston/videos/2065145413557931/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,1,0,0,
2018-07-03 05:57:20,Eyewatch - Knox Police Service Area,597550253628752_1967419576641806,https://www.facebook.com/eyewatchknox/videos/1967419576641806/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,6,0,0,
2018-07-03 05:57:49,Eyewatch - Wyndham Police Service Area,134404370080550_888445961343050,https://www.facebook.com/eyewatchwyndham/videos/888445961343050/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,9,0,2,
2018-07-03 05:57:58,Eyewatch - Whitehorse Police Service Area,171187666812034_235427257054741,https://www.facebook.com/eyewatchwhitehorse/videos/235427257054741/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,4,0,2,
2018-07-03 05:57:59,Eyewatch - Greater Shepparton Police Service Area,349554451900294_815232061999195,https://www.facebook.com/eyewatchgreatershepparton/videos/815232061999195/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,10,3,4,
2018-07-03 05:58:05,Eyewatch - Moorabool Police Service Area,1764824083826023_1843223729319391,https://www.facebook.com/eyewatchmoorabool/videos/1843223729319391/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,1,0,0,
2018-07-03 05:58:08,Eyewatch - Northern Grampians Police Service Area,1198323133636327_1325043997630906,https://www.facebook.com/eyewatchnortherngrampians/videos/1325043997630906/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,4,0,1,
2018-07-03 05:58:21,Eyewatch - Southern Grampians Police Service Area,226760391222871_272654276633482,https://www.facebook.com/eyewatchsoutherngrampians/videos/272654276633482/,Video,"Watch part two of our Protective Services Officers (PSOs) series to learn what powers our PSOs have to ensure your safety and the safety of others while travelling across the transport network. As of April 2018, new legislation came into force giving PSOs additional powers to keep commuters safe. Click the link to learn more >> bit.ly/2tX9UaL",,3,0,0,
