Date (GMT),Facebook Page,Post ID,Post Permalink,Post Type,Post Message,Tags,Campaign,Reactions,Comments,Shares,Ow.ly Clicks
2018-01-01 23:36:16,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1553741548050738,https://www.facebook.com/eyewatchgreaterdandenong/posts/1553741548050738:0,Photo,"Springvale Police Station are investigating the theft of a trailer and motor vehicle from a factory on Boileau Street, Keysborough in November 2017.   Police allege that two unknown males have attended the factory in a white Ford AU XR wagon and hooked up a tandem trailer with a Morris Standard 8 on board.  The Standard 8 is a 1939 model, cream colour and currently unregistered - it holds a great deal of sentimental value to its owner so we would love to be able to return it back to them!  It is believed that the stolen trailer and vehicle have since been seen in the Keysborough and Cranbourne areas.  Anyone with information in relation to the males pictured or the stolen trailer and vehicle is urged to contact Crime Stoppers on 1800 333 000 or visit www.crimestoppers.com.au to file a confidential crime report - quote incident number 170402524.  vp40485",,,13,7,25,
2018-01-02 00:10:06,Eyewatch - Cardinia Police Service Area,1755954881336663_1931069193825230,https://www.facebook.com/eyewatchcardinia/posts/1931069193825230,Photo,"We hope everyone has recovered from their New Years Eve celebrations!  A 31 year old driver from Seaford will be feeling the effects of his partying ways well into 2018 after being detected with a blood alcohol concentration of 0.095 yesterday in Lakeside Boulevard, Pakenham.  He was fined $476 and has lost his licence for 6 months. #operationroadwise #roadtozero #newyearsameoperation   vp40485",,,57,6,8,
2018-01-02 01:38:04,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1553816758043217,https://www.facebook.com/eyewatchgreaterdandenong/posts/1553816758043217:0,Photo,"Police are appealing to the public to help locate 43 year old Tearoa PAPATUA.  Tearoa is wanted by police on two outstanding warrants in relation to contravening a community corrections order.  He is described as having a dark complexion, approximately 185cm tall, medium build, black shoulder length hair in an afro style and has a beard and moustache.    Tearoa is known to frequent the Doveton, Narre Warren South and Dandenong areas.  Anyone who has information as to the whereabouts of Tearoa is asked to contact the Endeavour Hills Police Station on 9709 7666 or alternatively contact Crime Stoppers on 1800 333 000 - www.crimestoppers.com.au  vp40485",,,1,0,2,
2018-01-02 02:40:44,Eyewatch - Cardinia Police Service Area,1755954881336663_1931103930488423,https://www.facebook.com/eyewatchcardinia/posts/1931103930488423,Photo,"ATTENTION ALL DRONE FOLKS   A drone has been located in the Falling Water Estate, Pakenham and handed into the station.  If you think it may be yours please contact the Pakenham Police Station on 5945 2500 - you will need to be able to identify the drone as belonging to you.  ** Found drone not pictured ** *** Pug not included *** **** Flying pugs are cute but not condoned ****  vp40485",,,170,78,41,
2018-01-02 03:02:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727093717479697,https://www.facebook.com/eyewatchgreatershepparton/videos/727093717479697/,Video,"CRUSH TIME.  Can you help Police catch up with these drivers before they kill themselves or others.  The right to use our roads is a privilege that will be removed;    At approximately 10.30pm on the 30/12/17 on the Peter Ross Edwards Causeway (near Boolbadah Creek) Mooroopna, drivers of several vehicles where involved in hoon driving.  This generated community calls for Police to intervene.    On approach Police were confronted by vehicles traveling across three lanes of the road.  This forced Police to disengage and avoid catastrophe.   The Police investigation is continuing and any witnesses to the driving are encouraged to contact Police.  All information to Sergeant Mason at Mooroopna Police on Phone 0358 254 131.  Alternatively identity information can also be passed on via Crimestoppers www.crimestoppersvic.com.au",,,28,42,29,
2018-01-02 03:14:46,Eyewatch - Whittlesea Police Service Area,283867745385161_389574571481144,https://www.facebook.com/eyewatchwhittlesea/posts/389574571481144,Photo,(Post with no description),,,2,0,0,
2018-01-02 03:30:00,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1553835401374686,https://www.facebook.com/eyewatchgreaterdandenong/posts/1553835401374686,Photo,Nothing wise about this...  A 27 year old from Heatherton was intercepted by police in Noble Park over the weekend.  Checks revealed that the bike was unregistered and the rider unlicensed. The KTM 450cc was impounded at a cost of $969.80 to the rider making it one of 10 vehicles that have been taken off our roads throughout Operation Roadwise in the Greater Dandenong area. #operationroadwise #roadtozero   vp40485,,,31,5,4,
2018-01-02 05:26:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_726698130852589,https://www.facebook.com/eyewatchgreatershepparton/posts/726698130852589,Photo,REQUEST FOR COMMUNITY INFORMATION  On the evening of Saturday the 18/11/2017 a North Shepparton retailer suffered a theft of packaged liquor.  Store staff were jostled out of the way when they approached the male suspect as he was leaving the store.   Police would like to talk to this male if he can be identified.  If you can assist with information him please contact First Constable Kirby at Shepparton Police Station on Phone 0358205777.  Alternatively you can provide this information via Crimestoppers www.crimestoppersvic.com.au,,,18,13,42,
2018-01-02 06:45:00,Eyewatch - Cardinia Police Service Area,1755954881336663_1931102257155257,https://www.facebook.com/eyewatchcardinia/posts/1931102257155257,Photo,"Police in Cardinia have detected over 153 speeding offences since the commencement of Operation Roadwise.  This 64 year old driver from Pakenham is unfortunately one of them, detected at 96km/h in an 80 zone on Princes Highway, Officer.  He received a $317 infringement notice and 3 demerit points for his efforts. #operationroadwise #roadtozero  vp40485",,,35,5,5,
2018-01-02 07:30:00,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1553794954712064,https://www.facebook.com/eyewatchgreaterdandenong/posts/1553794954712064,Photo,"Greater Dandenong Crime Investigation Unit are currently investigating an armed robbery which occurred in Grace Street, Springvale on Saturday the 18th of November 2017 at approximately 10:30pm.  Police have released CCTV stills of a male that they believe will be able to assist with enquiries.  Anyone who can help identify the male is urged to contact Detective Senior Constable Steven Woodhouse at Greater Dandenong Crime Investigation Unit on 9767 7681.  Alternatively you can contact Crime Stoppers on 1800 333 000 or file a confidential crime report at www.crimestoppers.com.au and quote incident number 170379374  vp40485",,,9,2,21,
2018-01-02 08:24:50,Eyewatch - Knox Police Service Area,597550253628752_1766337813416651,https://www.facebook.com/eyewatchknox/posts/1766337813416651,Link,Knox & Maroondah’s most wanted man... We aim to have him safely in custody very soon.  Any information to Crime-stoppers on 1800 333 000.  Any sightings at the time should be reported immediately to 000.,,,15,7,33,
2018-01-02 09:30:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727118554143880,https://www.facebook.com/eyewatchgreatershepparton/posts/727118554143880,Link,DEATH ON OUR LOCAL COUNTRY ROADS OVER REPRESENTED IN THE 2017 ROAD TOLL.  Every driver has a role to play in reducing road trauma.  http://www.theage.com.au/victoria/at-255-annual-victorian-road-toll-down-on-2016-but-shepparton-area-hit-extra-hard-20180101-h0c2km.html,,,14,7,6,
2018-01-02 09:42:06,Eyewatch - Brimbank Police Service Area,288990074502333_1604535619614432,https://www.facebook.com/eyewatchbrimbank/posts/1604535619614432,Link,(Post with no description),,,4,0,2,
2018-01-02 10:14:37,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727223657466703,https://www.facebook.com/eyewatchgreatershepparton/posts/727223657466703,Video,Can WE all strive for Zero in 2018  - Towards Zero,,,9,2,1,
2018-01-02 21:00:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727056010816801,https://www.facebook.com/eyewatchgreatershepparton/posts/727056010816801,Photo,COBRAM THEFT  Cobram Police would like to speak with these two following a theft from a Cobram Supermarket on the 29/12/17.    Police are confident they will assist the investigation if identified.  If you can provide identity information or share with friends who might it would be appreciated.  Contact First Constable Booth at Cobram on phone 0358711977 or Crimestoppers via www.crimestoppersvic.com.au  Cobram Football Netball Club Moira Shire Council Cobram Barooga Golf Club Cobram Courier,,,10,0,43,
2018-01-02 21:38:58,Eyewatch - Ballarat Police Service Area,103131960018479_594796307518706,https://www.facebook.com/eyewatchballarat/posts/594796307518706,Photo,Just a reminder of road closures that start today due to the Cycling Road Nationals. Please allow extra time and plan your trip.,,,12,7,4,
2018-01-02 22:37:09,Eyewatch - Ballarat Police Service Area,103131960018479_533193180345686,https://www.facebook.com/eyewatchballarat/posts/594811400850530,Photo,(Post with no description),,,33,1,4,
2018-01-03 01:00:00,Eyewatch - Ballarat Police Service Area,103131960018479_594807700850900,https://www.facebook.com/eyewatchballarat/posts/594807700850900:0,Photo,The Ballarat Safer Community Tasking Unit have come across a couple of suspects over the festive season whilst on foot patrol.  As you can see they almost got away with the goods however Senior Constable CROC and his trusty offsider were on the job!!,,,71,7,9,
2018-01-03 04:12:21,Eyewatch - Whittlesea Police Service Area,283867745385161_389973684774566,https://www.facebook.com/eyewatchwhittlesea/posts/389973684774566,Status,Hoon Driver Arrested  Between 12.00 p.m. and 7.00 p.m. on Tuesday 2nd January 2018 local police received numerous reports of hoon driving in and around the Doreen area.  The driver has since been identified and police are now appealing for witnesses who may have CCTV or dash cam footage of the offending vehicle to contact Sergeant MAFFEI or Constable O'DEA at Mernda Police Station on 9216 1200.,,,42,34,18,
2018-01-03 05:15:38,Eyewatch - Ballarat Police Service Area,103131960018479_594926494172354,https://www.facebook.com/eyewatchballarat/posts/594926494172354,Video,(Post with no description),,,3,0,0,
2018-01-03 05:17:00,Eyewatch - Brimbank Police Service Area,288990074502333_1605283469539647,https://www.facebook.com/eyewatchbrimbank/posts/1605283469539647,Video,(Post with no description),,,2,0,0,
2018-01-03 05:18:05,Eyewatch - Frankston Police Service Area,132629380243848_900662196773892,https://www.facebook.com/eyewatchfrankston/posts/900662196773892,Video,(Post with no description),,,3,0,0,
2018-01-03 05:19:32,Eyewatch - Geelong Police Service Area,118579511604215_1349371341858353,https://www.facebook.com/eyewatchgeelong/posts/1349371341858353,Video,(Post with no description),,,5,0,1,
2018-01-03 05:19:42,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1554901104601449,https://www.facebook.com/eyewatchgreaterdandenong/posts/1554901104601449,Video,(Post with no description),,,1,0,0,
2018-01-03 05:19:54,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727540900768312,https://www.facebook.com/eyewatchgreatershepparton/posts/727540900768312,Video,(Post with no description),,,4,0,0,
2018-01-03 05:20:05,Eyewatch - Hobsons Bay Police Service Area,146118342176369_1504302349691288,https://www.facebook.com/eyewatchhobsonsbay/posts/1504302349691288,Video,(Post with no description),,,1,0,0,
2018-01-03 05:20:43,Eyewatch - Knox Police Service Area,597550253628752_1767202239996875,https://www.facebook.com/eyewatchknox/posts/1767202239996875,Video,(Post with no description),,,2,0,0,
2018-01-03 05:23:17,Eyewatch - Melton Police Service Area,1248280898517925_1773939485952061,https://www.facebook.com/eyewatchmelton/posts/1773939485952061,Video,(Post with no description),,,4,0,0,
2018-01-03 05:30:00,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727446590777743,https://www.facebook.com/eyewatchgreatershepparton/videos/727446590777743/,Video,"SPENDING SPREE ON STOLEN CREDIT CARDS.  A Piper Street, Yarrawanga church volunteer had her purse stolen from her handbag back on the 11/11/17.    What followed was a spending spree using the victim's credit cards before transactions were ceased by the banks.  This deception netted fuel from a retailer in Station Street, Cobram, alcohol from a Cobram Hotel and bottleshop.  Food from Cobram and Yarrawonga retailers.  The credit cards were eventually dumped on the Murray Valley Hwy Burramine.    During one transaction CCTV images have been obtained of a male Police would like to speak to about both the theft and the deceptions.    Identity information would be appreciated.  If unknown please share with others that may assist with an identity.  Any information can be provided directly to Leading Senior Constable Westrope at Yarrawonga Police on 58711977.  Alternatively you can utilise Crimestoppers www.crimestoppersvic.com.au  Yarrawonga Chronicle Cobram Courier Yarrawonga Holiday Park Cobram Barooga Golf Club",,,51,37,296,
2018-01-03 05:31:41,Eyewatch - Whittlesea Police Service Area,283867745385161_389993601439241,https://www.facebook.com/eyewatchwhittlesea/posts/389993601439241,Video,(Post with no description),,,1,0,0,
2018-01-03 05:31:53,Eyewatch - Wyndham Police Service Area,134404370080550_786877441499903,https://www.facebook.com/eyewatchwyndham/posts/786877441499903,Video,(Post with no description),,,4,1,1,
2018-01-03 06:30:29,Eyewatch - Cardinia Police Service Area,1755954881336663_1931614723770677,https://www.facebook.com/eyewatchcardinia/posts/1931614723770677,Photo,"Cardinia Highway Patrol detected this P-plate driving a Club Sport at 128km/h in the 80 zone in Berwick this morning😐  We don’t *R8* his skills, so we’ll be *Holden* onto his car. Welcome to the Impound Club, Sport.   The driver will receive a summons to appear at court for various driving offences, including driving a prohibited vehicle (for a P-Plate).  VPS Phelps",,,297,97,6,
2018-01-03 07:00:32,Eyewatch - Wyndham Police Service Area,134404370080550_786899241497723,https://www.facebook.com/eyewatchwyndham/posts/786899241497723,Photo,"03.01.2018 : Arrested - Police on active patrol in Wyndham Vale responded to a range of public order offending at Tarneit Central Shopping Centre today at 3PM.  Due to Riotous Behaviour and continued breaches of peace by a group of youths - Police arrested three males for Riotous Behavior, Threatening words, Assault/Resist Police & Failing to move on when requested.  In total 17 charges were issued with those involved now required to attend the Werribee Magistrates Court.    Police take a zero tolerance approach to public order offending and will take all steps neccessary to ensure Community Safety - Senior Sergeant Aaron RICHES   #toughoncrime",,,647,596,86,
2018-01-03 21:23:24,Eyewatch - Ballarat Police Service Area,103131960018479_595243547473982,https://www.facebook.com/eyewatchballarat/posts/595243547473982,Video,(Post with no description),,,25,4,0,
2018-01-03 21:24:13,Eyewatch - Brimbank Police Service Area,288990074502333_1605968459471148,https://www.facebook.com/eyewatchbrimbank/posts/1605968459471148,Video,(Post with no description),,,7,0,0,
2018-01-03 21:24:58,Eyewatch - Cardinia Police Service Area,1755954881336663_1931925263739623,https://www.facebook.com/eyewatchcardinia/posts/1931925263739623,Video,(Post with no description),,,14,0,0,
2018-01-03 21:25:58,Eyewatch - Frankston Police Service Area,132629380243848_901015350071910,https://www.facebook.com/eyewatchfrankston/posts/901015350071910,Video,(Post with no description),,,36,2,0,
2018-01-03 21:26:09,Eyewatch - Geelong Police Service Area,118579511604215_1350034091792078,https://www.facebook.com/eyewatchgeelong/posts/1350034091792078,Video,(Post with no description),,,67,9,3,
2018-01-03 21:26:21,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1555636047861288,https://www.facebook.com/eyewatchgreaterdandenong/posts/1555636047861288,Video,(Post with no description),,,12,0,0,
2018-01-03 21:26:34,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727805687408500,https://www.facebook.com/eyewatchgreatershepparton/posts/727805687408500,Video,(Post with no description),,,13,3,0,
2018-01-03 21:26:45,Eyewatch - Hobsons Bay Police Service Area,146118342176369_1505118322943024,https://www.facebook.com/eyewatchhobsonsbay/posts/1505118322943024,Video,(Post with no description),,,9,0,0,
2018-01-03 21:27:32,Eyewatch - Knox Police Service Area,597550253628752_1767992059917893,https://www.facebook.com/eyewatchknox/posts/1767992059917893,Video,(Post with no description),,,21,1,0,
2018-01-03 21:28:37,Eyewatch - Melton Police Service Area,1248280898517925_1774683132544363,https://www.facebook.com/eyewatchmelton/posts/1774683132544363,Video,(Post with no description),,,23,13,0,
2018-01-03 21:31:41,Eyewatch - Whittlesea Police Service Area,283867745385161_390277238077544,https://www.facebook.com/eyewatchwhittlesea/posts/390277238077544,Video,(Post with no description),,,19,0,0,
2018-01-03 21:31:55,Eyewatch - Wyndham Police Service Area,134404370080550_787208238133490,https://www.facebook.com/eyewatchwyndham/posts/787208238133490,Video,(Post with no description),,,48,5,2,
2018-01-03 22:29:19,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727828350739567,https://www.facebook.com/eyewatchgreatershepparton/posts/727828350739567,Photo,"And Two makes Seven...  Greater Shepparton Police are making inroads this week following a recent spike in crime that dates back to the 15/12/17.    # On Tuesday the 2/1/18; Two men aged 18 & 21 were arrested and charged for Mooroopna burglaries on the 30th and 31st December.   # On Wednesday the 3/1/18; three teenagers where arrested for offences that occurred across Shepparton and Mooroopna.    # The tally was rounded out by Tatura police with two further teenagers arrested this week for thefts and damage across Tatura.     The community has played an important role in these arrests with crucial information being passed onto police. We are keen for this information to continue.  Police are committed to hammering the crime spike back in place.  In the meantime we encourage our community to review security of homes, cars and sheds.  Remember;  if you see something, say something.",,,139,44,22,
2018-01-03 23:34:47,Eyewatch - Ballarat Police Service Area,103131960018479_595271120804558,https://www.facebook.com/eyewatchballarat/posts/595271120804558:0,Photo,"The word is getting out about our Ballarat police bike patrol popping up all over #BallaratSafeCity.  Fantastic day patrolling the Road Nationals in Ballarat yesterday, meeting people along the way. International commentary team #PhilLiggett  & #MatthewKeenan , they thought we were a world class act... I mean, ""winning team""...just saying!",,,21,0,1,
2018-01-04 00:38:42,Eyewatch - Knox Police Service Area,597550253628752_1768136346570131,https://www.facebook.com/eyewatchknox/posts/1768136346570131,Link,Knox Crime Investigation Unit detectives have charged a 28-year-old man following an incident at a Fast Food outlet in Wantirna on 15 September last year.,,,11,0,0,
2018-01-04 00:54:24,Eyewatch - Ballarat Police Service Area,103131960018479_595298794135124,https://www.facebook.com/eyewatchballarat/posts/595298794135124,Video,(Post with no description),,,5,0,3,
2018-01-04 00:55:00,Eyewatch - Geelong Police Service Area,118579511604215_1350175161777971,https://www.facebook.com/eyewatchgeelong/posts/1350175161777971,Video,(Post with no description),,,8,0,0,
2018-01-04 00:57:12,Eyewatch - Brimbank Police Service Area,288990074502333_1606136502787677,https://www.facebook.com/eyewatchbrimbank/posts/1606136502787677,Video,(Post with no description),,,3,0,0,
2018-01-04 00:57:23,Eyewatch - Cardinia Police Service Area,1755954881336663_1931980410400775,https://www.facebook.com/eyewatchcardinia/posts/1931980410400775,Video,(Post with no description),,,8,0,0,
2018-01-04 00:58:12,Eyewatch - Frankston Police Service Area,132629380243848_901076050065840,https://www.facebook.com/eyewatchfrankston/posts/901076050065840,Video,(Post with no description),,,5,0,0,
2018-01-04 00:58:26,Eyewatch - Greater Dandenong Police Service Area,1091322447625986_1555800034511556,https://www.facebook.com/eyewatchgreaterdandenong/posts/1555800034511556,Video,(Post with no description),,,2,0,0,
2018-01-04 00:59:06,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727861140736288,https://www.facebook.com/eyewatchgreatershepparton/posts/727861140736288,Video,(Post with no description),,,4,0,0,
2018-01-04 00:59:34,Eyewatch - Hobsons Bay Police Service Area,146118342176369_1505277396260450,https://www.facebook.com/eyewatchhobsonsbay/posts/1505277396260450,Video,(Post with no description),,,2,0,1,
2018-01-04 01:00:06,Eyewatch - Knox Police Service Area,597550253628752_1768152903235142,https://www.facebook.com/eyewatchknox/posts/1768152903235142,Video,(Post with no description),,,4,0,4,
2018-01-04 01:02:30,Eyewatch - Melton Police Service Area,1248280898517925_1774858832526793,https://www.facebook.com/eyewatchmelton/posts/1774858832526793,Video,(Post with no description),,,8,0,0,
2018-01-04 01:04:47,Eyewatch - Whittlesea Police Service Area,283867745385161_390322708072997,https://www.facebook.com/eyewatchwhittlesea/posts/390322708072997,Video,(Post with no description),,,0,2,0,
2018-01-04 01:05:04,Eyewatch - Wyndham Police Service Area,134404370080550_787273834793597,https://www.facebook.com/eyewatchwyndham/posts/787273834793597,Video,(Post with no description),,,13,0,0,
2018-01-04 02:01:35,Eyewatch - Knox Police Service Area,597550253628752_1768197699897329,https://www.facebook.com/eyewatchknox/posts/1768197699897329,Link,"Curtis is believed he may be frequenting the Wantirna, Croydon, Doncaster, Greensborough and Narre Warren areas.",,,3,2,0,
2018-01-04 03:19:31,Eyewatch - Greater Shepparton Police Service Area,349554451900294_727889737400095,https://www.facebook.com/eyewatchgreatershepparton/posts/727889737400095,Link,Arrest follows Bendigo death.,,,15,1,0,
2018-01-04 06:00:00,Eyewatch - Knox Police Service Area,597550253628752_1768148453235587,https://www.facebook.com/eyewatchknox/posts/1768148453235587,Status,"*** Further Update - Detectives hunt car thieves *** At approximately 4:00am on Tuesday the 7th of November 2017 police allege that a stolen Toyota Hilux was travelling along Boronia Road in Boronia. The Toyota Hilux entered the intersection of Boronia Road and Scoresby Road failing to stop at a red traffic light. The stolen Toyota Hilux collided with another vehicle in the intersection, causing both vehicles to be written off. Detectives allege that the occupants of the stolen Hilux were Joshua VENN and Damien JONES. Immediately after the collision VENN and JONES have fled the scene, failing to render assistance to the other party  Damien Jones was arrested just before New Year's Eve at an address in Boronia.   Police would like to thank the public for their assistance.",,,59,20,9,
2018-01-04 08:11:14,Eyewatch - Cardinia Police Service Area,1755954881336663_1932076957057787,https://www.facebook.com/eyewatchcardinia/videos/1932076957057787/,Video,How’s the serenity?  With the weather spot on 👌🏻☀️ there weren’t many better places to be than Pakenham Upper for a PBT site this afternoon.  A 33 year old unlicensed male driver from Pakenham was tested for the presence of alcohol and drugs and returned a positive result. He is expected to face Dandenong Magistrates’ Court at a later date. #operationroadwise #roadtozero  vp40485,,,41,3,5,
2018-01-04 09:20:07,Eyewatch - Cardinia Police Service Area,1755954881336663_1932095077055975,https://www.facebook.com/eyewatchcardinia/posts/1932095077055975,Photo,More than likely you’ve seen us out on the roads or even had a breath test over the Christmas summer holiday period - it’s all in the name of Operation Roadwise.  These people learnt about Operation Roadwise the hard way today.... #operationroadwise #roadtozero  vp40485,,,37,1,2,
2018-01-04 10:59:35,Eyewatch - Wyndham Police Service Area,134404370080550_787426338111680,https://www.facebook.com/eyewatchwyndham/posts/787426338111680,Photo,"LONG RIDE STARTS  Back in November 2017 we announced that First Constable Dave of the Wyndham North Station & Wyndham Bike Patrol Team will be riding to Adelaide to raise funds for the Blue Ribbon Foundation, in his recreational leave mind you.  Dave has been joined by Dave(2) from Ambulance South Australia and Mick from South Australia Police, and today rode their first leg from Federation Square Melbourne to Wyndham.  To donate to the Trio's cause:  https://www.gofundme.com/ride-for-the-ribbon  https://m.facebook.com/story.php?story_fbid=770692463118401&id=134404370080550",,,69,1,6,
2018-01-04 11:44:24,Eyewatch - Greater Shepparton Police Service Area,349554451900294_728029967386072,https://www.facebook.com/eyewatchgreatershepparton/posts/728029967386072,Photo,"This 'Giant' brand bicycle was stolen from the front yard of 67 Wilson Road, Wangaratta, between 2200 hours on 18/9/2017 and 1700 hours on 20/9/2017. Also stolen was a pale blue bicycle helmet. The bicycle is valued at $950 and has not been recovered. If you ave any info please contact Wangaratta Police Station on 57230812.",,,7,2,12,
2018-01-04 16:23:13,Eyewatch - Wyndham Police Service Area,134404370080550_787552668099047,https://www.facebook.com/eyewatchwyndham/posts/787552668099047,Photo,Wyndham Police night shift crews were out in force overnight conducting random breath test sights on Point Cook Road and Princes Hwy. No offences were recorded.,,,153,41,5,
2018-01-04 20:45:26,Eyewatch - Whittlesea Police Service Area,283867745385161_390653348039933,https://www.facebook.com/eyewatchwhittlesea/posts/390653348039933,Photo,(Post with no description),,,2,0,0,
